"Player","Nation","Position","Club","Age","MatchesPlayed","Starts","TotalMinutes","Goals","Assists","xG","xAG","FPLPoints","FPLPrice","WeeklyWages","AnnualWages","Continent"
"Brenden Aaronson","USA","MF","Leeds United",22,12,12,1014,1,1,1.8,2.4,37,5.5,NA,NA,"Americas"
"Che Adams","SCO","FW","Southampton",26,12,10,913,3,1,3.1,1.4,42,6.4,30000,1560000,"Europe"
"Tyler Adams","USA","MF","Leeds United",23,11,11,990,0,0,0,0.9,24,4.9,NA,NA,"Americas"
"Tosin Adarabioyo","ENG","DF","Fulham",25,10,10,900,1,0,0.1,0,21,4.5,40577,2110000,"Europe"
"Rayan Aït Nouri","FRA","DF","Wolves",21,9,7,649,0,0,0.3,0.8,NA,NA,4423,230000,"Europe"
"Kristoffer Ajer","NOR","DF","Brentford",24,6,6,502,0,0,0,0,15,4.5,22115,1150000,"Europe"
"Manuel Akanji","SUI","DF","Manchester City",27,6,6,521,0,0,0.3,0,25,5,180000,9360000,"Europe"
"Nathan Aké","NED","DF","Manchester City",27,7,6,481,0,0,0.1,0,26,5,90000,4680000,"Europe"
"Marc Albrighton","ENG","MF","Leicester City",32,2,0,18,0,0,0,0,3,4.7,45000,2340000,"Europe"
"Thiago Alcántara","ESP","MF","Liverpool",31,6,6,464,0,0,0,0.4,12,5.2,2e+05,10400000,"Europe"
"Trent Alexander-Arnold","ENG","DF","Liverpool",24,12,10,813,1,0,1,1.9,38,7.2,180000,9360000,"Europe"
"Alisson","BRA","GK","Liverpool",30,12,12,1080,0,1,0,0.3,62,5.4,150000,7800000,"Americas"
"Dele Alli","ENG","MF","Everton",26,2,0,40,0,0,0,0,2,5.3,NA,NA,"Europe"
"Miguel Almirón","PAR","FW","Newcastle Utd",28,13,13,1085,7,0,4.2,0.7,87,5.8,42000,2184000,"Americas"
"Julián Álvarez","ARG","FW","Manchester City",22,10,2,296,2,0,0.8,0.3,31,6,50000,2600000,"Americas"
"Daniel Amartey","GHA","DF","Leicester City",27,10,8,735,0,0,0,0.3,34,4.3,20000,1040000,"Africa"
"Joachim Andersen","DEN","DF","Crystal Palace",26,11,11,990,1,0,0.9,0.4,37,4.5,79423,4130000,"Europe"
"Elliot Anderson","SCO","FW","Newcastle Utd",19,6,0,93,0,0,0.5,0.5,7,4.4,3000,156000,"Europe"
"Jaidon Anthony","ENG","MF","Bournemouth",22,9,1,249,1,0,0.5,0.1,16,5.2,10000,520000,"Europe"
"Michail Antonio","JAM","FW","West Ham",32,13,6,562,2,1,2,0.4,32,7,85000,4420000,"Americas"
"Antony","BRA","MF","Manchester Utd",22,6,6,491,3,0,1.6,0.4,28,7.5,2e+05,10400000,"Americas"
"Cameron Archer","ENG","MF","Aston Villa",20,5,0,41,0,0,0,0,5,4.2,20000,1040000,"Europe"
"Alphonse Areola","FRA","GK","West Ham",29,2,0,107,0,0,0,0,2,4.3,120000,6240000,"Europe"
"Joe Aribo","NGA","MF","Southampton",26,13,10,908,2,0,1.4,0.8,37,5.3,NA,NA,"Africa"
"Adam Armstrong","ENG","FW","Southampton",25,12,10,785,1,1,0.9,0.6,NA,NA,47885,2490000,"Europe"
"Stuart Armstrong","SCO","MF","Southampton",30,12,5,569,1,0,1,0.9,NA,NA,50000,2600000,"Europe"
"Kepa Arrizabalaga","ESP","GK","Chelsea",28,6,6,495,0,0,0,0,29,4.5,150000,7800000,"Europe"
"Pierre-Emerick Aubameyang","GAB","FW","Chelsea",33,5,3,242,1,0,0.2,0.3,15,8.8,160000,8320000,"Africa"
"Ludwig Augustinsson","SWE","DF","Aston Villa",28,1,1,44,0,0,0,0,0,4.3,20000,1040000,"Europe"
"Serge Aurier","CIV","DF","Nottingham Forest",29,5,4,350,0,0,0,0.1,15,4.5,NA,NA,"Africa"
